nodeid	pagerank
1106	0.000132
1107	0.000451
1108	0.000151
1109	0.000167
1110	0.000285
1111	0.000121
1112	0.000263
1113	0.000148
1114	0.000146
1115	0.000149
1116	0.000203
1117	0.000426
1118	0.000202
1119	0.000105
1120	0.000163
1121	0.000128
1122	0.000149
1123	0.000298
1124	0.000407
1125	0.000412
1126	0.000503
1127	0.000134
1128	0.000365
1129	0.000169
1130	0.000301
1131	0.000136
1132	0.000446
1133	0.000124
1134	0.000119
1135	0.000309
1136	0.000256
1137	0.000188
1138	0.000131
1139	0.000151
1140	0.000176
1141	0.000132
1142	0.000135
1143	0.000131
1144	0.000217
1145	0.000105
1146	0.000441
1147	0.000110
1148	0.000174
1149	0.000368
1150	0.000134
1151	0.000125
1152	0.000144
1153	0.000433
1154	0.000121
1155	0.000150
1156	0.000363
1157	0.000109
1158	0.000174
1159	0.000207
1160	0.000331
1161	0.000152
1162	0.000111
1163	0.000367
1164	0.000192
1165	0.000147
1166	0.000162
1167	0.000158
1168	0.000110
1169	0.000121
1170	0.000167
1171	0.000164
1172	0.000394
1173	0.000363
1174	0.000196
1175	0.000400
1176	0.000106
1177	0.000131
1178	0.000123
1179	0.000145
1180	0.000243
1181	0.000350
1182	0.000359
1183	0.000166
1184	0.000439
1185	0.000447
1186	0.000154
1187	0.000211
1188	0.000159
1189	0.000139
1190	0.000152
1191	0.000452
1192	0.000196
1193	0.000156
1194	0.000108
1195	0.000289
1196	0.000171
1197	0.000122
1198	0.000334
1199	0.000497
1200	0.000107
1201	0.000264
1202	0.000109
1203	0.000130
1204	0.000204
1205	0.000344
1206	0.000105
1207	0.000290
1208	0.000107
1209	0.000296
1210	0.000141
1211	0.000453
1212	0.000127
1213	0.000138
1214	0.000351
1215	0.000148
1216	0.000198
1217	0.000191
1218	0.000124
1219	0.000252
1220	0.000133
1221	0.000174
1222	0.000396
1223	0.000143
1224	0.000116
1225	0.000154
1226	0.000135
1227	0.000183
1228	0.000137
1229	0.000151
1230	0.000388
1231	0.000174
1232	0.000180
1233	0.000106
1234	0.000118
1235	0.000197
1236	0.000168
1237	0.000187
1238	0.000404
1239	0.000132
1240	0.000121
1241	0.000142
1242	0.000332
1243	0.000353
1244	0.000116
1245	0.000161
1246	0.000138
1247	0.000149
1248	0.000112
1249	0.000118
1250	0.000395
1251	0.000173
1252	0.000112
1253	0.000105
1254	0.000115
1255	0.000388
1256	0.000389
1257	0.000156
1258	0.000146
1259	0.000143
1260	0.000137
1261	0.000188
1262	0.000106
1263	0.000114
1264	0.000114
1265	0.000181
1266	0.000137
1267	0.000380
1268	0.000114
1269	0.000380
1270	0.000105
1271	0.000332
1272	0.000305
1273	0.000178
1274	0.000221
1275	0.000151
1276	0.000106
1277	0.000236
1278	0.000188
1279	0.000149
1280	0.000279
1281	0.000160
1282	0.000185
1283	0.000159
1284	0.000182
1285	0.000241
1286	0.000135
1287	0.000283
1288	0.000318
1289	0.000314
1290	0.000305
1291	0.000366
1292	0.000157
1293	0.000242
1294	0.000123
1295	0.000112
1296	0.000126
1297	0.000117
1298	0.000169
1299	0.000131
1300	0.000132
1301	0.000113
1302	0.000357
1303	0.000162
1304	0.000131
1305	0.000330
1306	0.000126
1307	0.000226
1308	0.000119
1309	0.000159
1310	0.000126
1311	0.000125
1312	0.000292
1313	0.000133
1314	0.000171
1315	0.000145
1316	0.000146
1317	0.000132
1318	0.000155
1319	0.000176
1320	0.000173
1321	0.000148
1322	0.000202
1323	0.000284
1324	0.000153
1325	0.000180
1326	0.000105
1327	0.000200
1328	0.000196
1329	0.000370
1330	0.000365
1331	0.000397
1332	0.000153
1333	0.000183
1334	0.000309
1335	0.000381
1336	0.000241
1337	0.000157
1338	0.000155
1339	0.000326
1340	0.000255
1341	0.000366
1342	0.000114
1343	0.000150
1344	0.000300
1345	0.000209
1346	0.000112
1347	0.000191
1348	0.000132
1349	0.000151
1350	0.000144
1351	0.000269
1352	0.000466
1353	0.000113
1354	0.000117
1355	0.000132
1356	0.000121
1357	0.000169
1358	0.000183
1359	0.000280
1360	0.000149
1361	0.000368
1362	0.000107
1363	0.000158
1364	0.000122
1365	0.000212
1366	0.000154
1367	0.000403
1368	0.000118
1369	0.000200
1370	0.000334
1371	0.000190
1372	0.000110
1373	0.000164
1374	0.000147
1375	0.000260
1376	0.000417
1377	0.000420
1378	0.000176
1379	0.000168
1380	0.000294
1381	0.000138
1382	0.000138
1383	0.000107
1384	0.000118
1385	0.000119
1386	0.000105
1387	0.000121
1388	0.000279
1389	0.000215
1390	0.000427
1391	0.000405
1392	0.000151
1393	0.000207
1394	0.000109
1395	0.000105
1396	0.000147
1397	0.000126
1398	0.000201
1399	0.000414
1400	0.000128
1401	0.000135
1402	0.000264
1403	0.000118
1404	0.000163
1405	0.000184
1406	0.000140
1407	0.000174
1408	0.000140
1409	0.000314
1410	0.000131
1411	0.000131
1412	0.000128
1413	0.000172
1414	0.000115
1415	0.000128
1416	0.000325
1417	0.000113
1418	0.000122
1419	0.000141
1420	0.000383
1421	0.000133
1422	0.000123
1423	0.000173
1424	0.000129
1425	0.000138
1426	0.000175
1427	0.000156
1428	0.000125
1429	0.000136
1430	0.000105
1431	0.000453
1432	0.000163
1433	0.000130
1434	0.000126
1435	0.000170
1436	0.000139
1437	0.000219
1438	0.000142
1439	0.000163
1440	0.000150
1441	0.000123
1442	0.000118
1443	0.000111
1444	0.000142
1445	0.000146
1446	0.000131
1447	0.000356
1448	0.000160
1449	0.000284
1450	0.000138
1451	0.000132
1452	0.000179
1453	0.000126
1454	0.000146
1455	0.000109
1456	0.000348
1457	0.000242
1458	0.000163
1459	0.000202
1460	0.000194
1461	0.000113
1462	0.000185
1463	0.000129
1464	0.000123
1465	0.000254
1466	0.000105
1467	0.000337
1468	0.000170
1469	0.000145
1470	0.000241
1471	0.000392
1472	0.000163
1473	0.000142
1474	0.000109
1475	0.000174
1476	0.000113
1477	0.000117
1478	0.000116
1479	0.000185
1480	0.000267
1481	0.000119
1482	0.000138
1483	0.000283
1484	0.000143
1485	0.000198
1486	0.000112
1487	0.000150
1488	0.000339
1489	0.000133
1490	0.000115
1491	0.000342
1492	0.000113
1493	0.000159
1494	0.000133
1495	0.000168
1496	0.000137
1497	0.000133
1498	0.000115
1499	0.000122
1500	0.000124
1501	0.000131
1502	0.000170
1503	0.000130
1504	0.000143
1505	0.000168
1506	0.000111
1507	0.000128
1508	0.000139
1509	0.000341
1510	0.000106
1511	0.000138
1512	0.000128
1513	0.000193
1514	0.000130
1515	0.000169
1516	0.000387
1517	0.000178
1518	0.000124
1519	0.000162
1520	0.000320
1521	0.000114
1522	0.000370
1523	0.000226
1524	0.000194
1525	0.000143
1526	0.000121
1527	0.000120
1528	0.000233
1529	0.000135
1530	0.000309
1531	0.000121
1532	0.000184
1533	0.000173
1534	0.000149
1535	0.000225
1536	0.000155
1537	0.000126
1538	0.000244
1539	0.000260
1540	0.000212
1541	0.000124
1542	0.000213
1543	0.000127
1544	0.000121
1545	0.000130
1546	0.000111
1547	0.000322
1548	0.000173
1549	0.000134
1550	0.000144
1551	0.000374
1552	0.000113
1553	0.000154
1554	0.000363
1555	0.000138
1556	0.000150
1557	0.000345
1558	0.000105
1559	0.000387
1560	0.000104
1561	0.000130
1562	0.000126
1563	0.000297
1564	0.000123
1565	0.000135
1566	0.000117
1567	0.000134
1568	0.000159
1569	0.000148
1570	0.000302
1571	0.000219
1572	0.000182
1573	0.000183
1574	0.000143
1575	0.000120
1576	0.000166
1577	0.000304
1578	0.000138
1579	0.000108
1580	0.000259
1581	0.000104
1582	0.000145
1583	0.000188
1584	0.000397
1585	0.000125
1586	0.000107
1587	0.000155
1588	0.000127
1589	0.000399
1590	0.000243
1591	0.000185
1592	0.000125
1593	0.000133
1594	0.000123
1595	0.000142
1596	0.000169
1597	0.000291
1598	0.000312
1599	0.000112
1600	0.000289
1601	0.000160
1602	0.000112
1603	0.000333
1604	0.000317
1605	0.000248
1606	0.000126
1607	0.000114
1608	0.000291
1609	0.000244
1610	0.000355
1611	0.000164
1612	0.000366
1613	0.000358
1614	0.000216
1615	0.000123
1616	0.000136
1617	0.000283
1618	0.000145
1619	0.000272
1620	0.000277
1621	0.000361
1622	0.000342
1623	0.000256
1624	0.000124
1625	0.000120
1626	0.000150
1627	0.000108
1628	0.000168
1629	0.000143
1630	0.000152
1631	0.000110
1632	0.000228
1633	0.000117
1634	0.000125
1635	0.000133
1636	0.000164
1637	0.000241
1638	0.000136
1639	0.000217
1640	0.000113
1641	0.000118
1642	0.000137
1643	0.000254
1644	0.000201
1645	0.000139
1646	0.000123
