d=0.85, epsilon=1e-7, iter 70
nodeid	pagerank
891	0.000113
892	0.000113
893	0.000119
894	0.000129
895	0.000135
896	0.000229
897	0.000373
898	0.000219
899	0.000113
900	0.000152
901	0.000209
902	0.000166
903	0.000208
904	0.000122
905	0.000122
906	0.000279
907	0.000168
908	0.000194
909	0.000134
910	0.000117
911	0.000106
912	0.000127
913	0.000169
914	0.000123
915	0.000143
916	0.000527
917	0.000316
918	0.000106
919	0.000190
920	0.000163
921	0.000458
922	0.000243
923	0.000125
924	0.000198
925	0.000515
926	0.000209
927	0.000381
928	0.000128
929	0.000115
930	0.000157
931	0.000119
932	0.000330
933	0.000180
934	0.000422
935	0.000121
936	0.000140
937	0.000118
938	0.000190
939	0.000121
940	0.000144
941	0.000236
942	0.000249
943	0.000130
944	0.000196
945	0.000114
946	0.000525
947	0.000467
948	0.000145
949	0.000136
950	0.000136
951	0.000148
952	0.000428
953	0.000433
954	0.000236
955	0.000128
956	0.000122
957	0.000254
958	0.000181
959	0.000268
960	0.000394
961	0.000136
962	0.000132
963	0.000200
964	0.000169
965	0.000149
966	0.000421
967	0.000426
968	0.000204
969	0.000188
970	0.000130
971	0.000193
972	0.000182
973	0.000144
974	0.000129
975	0.000237
976	0.000128
977	0.000167
978	0.000393
979	0.000120
980	0.000418
981	0.000224
982	0.000322
983	0.000299
984	0.000211
985	0.000114
986	0.000132
987	0.000113
988	0.000214
989	0.000148
990	0.000153
991	0.000155
992	0.000191
993	0.000455
994	0.000139
995	0.000284
996	0.000109
997	0.000365
998	0.000128
999	0.000392
1000	0.000125
1001	0.000151
1002	0.000108
1003	0.000394
1004	0.000452
1005	0.000140
1006	0.000480
1007	0.000144
1008	0.000115
1009	0.000170
1010	0.000155
1011	0.000179
1012	0.000142
1013	0.000117
1014	0.000201
1015	0.000148
1016	0.000117
1017	0.000488
1018	0.000160
1019	0.000170
1020	0.000167
1021	0.000173
1022	0.000109
1023	0.000111
1024	0.000384
1025	0.000138
1026	0.000329
1027	0.000106
1028	0.000313
1029	0.000304
1030	0.000129
1031	0.000109
1032	0.000184
1033	0.000132
1034	0.000110
1035	0.000133
1036	0.000169
1037	0.000145
1038	0.000116
1039	0.000219
1040	0.000331
1041	0.000200
1042	0.000136
1043	0.000129
1044	0.000136
1045	0.000130
1046	0.000106
1047	0.000297
1048	0.000370
1049	0.000326
1050	0.000116
1051	0.000188
1052	0.000203
1053	0.000112
1054	0.000257
1055	0.000121
1056	0.000282
1057	0.000115
1058	0.000127
1059	0.000452
1060	0.000163
1061	0.000132
1062	0.000129
1063	0.000193
1064	0.000147
1065	0.000105
1066	0.000172
1067	0.000182
1068	0.000284
1069	0.000180
1070	0.000216
1071	0.000106
1072	0.000157
1073	0.000112
1074	0.000281
1075	0.000306
1076	0.000429
1077	0.000149
1078	0.000477
1079	0.000400
1080	0.000160
1081	0.000135
1082	0.000167
1083	0.000369
1084	0.000142
1085	0.000361
1086	0.000456
1087	0.000112
1088	0.000188
1089	0.000137
1090	0.000123
1091	0.000162
1092	0.000247
1093	0.000114
1094	0.000124
1095	0.000127
1096	0.000104
1097	0.000199
1098	0.000223
1099	0.000160
1100	0.000169
1101	0.000393
1102	0.000155
1103	0.000123
1104	0.000201
1105	0.000107
1106	0.000129
1107	0.000416
1108	0.000147
1109	0.000162
1110	0.000268
1111	0.000119
1112	0.000247
1113	0.000144
1114	0.000143
1115	0.000145
1116	0.000192
1117	0.000394
1118	0.000196
1119	0.000104
1120	0.000159
1121	0.000125
1122	0.000145
1123	0.000279
1124	0.000377
1125	0.000382
1126	0.000464
1127	0.000131
1128	0.000340
1129	0.000164
1130	0.000281
1131	0.000133
1132	0.000412
1133	0.000120
1134	0.000116
1135	0.000289
1136	0.000247
1137	0.000182
1138	0.000128
1139	0.000147
1140	0.000170
1141	0.000129
1142	0.000132
1143	0.000128
1144	0.000209
1145	0.000103
1146	0.000408
1147	0.000108
1148	0.000169
1149	0.000342
1150	0.000130
1151	0.000122
1152	0.000140
1153	0.000401
1154	0.000118
1155	0.000146
1156	0.000338
1157	0.000107
1158	0.000169
1159	0.000201
1160	0.000309
1161	0.000147
1162	0.000109
1163	0.000341
1164	0.000182
1165	0.000143
1166	0.000158
1167	0.000154
1168	0.000108
1169	0.000119
1170	0.000162
1171	0.000158
1172	0.000366
1173	0.000339
1174	0.000190
1175	0.000372
1176	0.000104
1177	0.000129
1178	0.000120
1179	0.000141
1180	0.000229
1181	0.000326
1182	0.000334
1183	0.000161
1184	0.000407
1185	0.000414
1186	0.000150
1187	0.000204
1188	0.000155
1189	0.000136
1190	0.000148
1191	0.000418
1192	0.000190
1193	0.000152
1194	0.000106
1195	0.000271
1196	0.000164
1197	0.000120
1198	0.000312
1199	0.000460
1200	0.000105
1201	0.000248
1202	0.000107
1203	0.000127
1204	0.000198
1205	0.000321
1206	0.000103
1207	0.000272
1208	0.000105
1209	0.000278
1210	0.000138
1211	0.000420
1212	0.000125
1213	0.000135
1214	0.000328
1215	0.000144
1216	0.000192
1217	0.000184
1218	0.000121
1219	0.000237
1220	0.000129
1221	0.000169
1222	0.000369
1223	0.000139
1224	0.000114
1225	0.000150
1226	0.000132
1227	0.000178
1228	0.000134
1229	0.000147
1230	0.000361
1231	0.000169
1232	0.000175
1233	0.000104
1234	0.000116
1235	0.000191
1236	0.000164
1237	0.000180
1238	0.000376
1239	0.000128
1240	0.000119
1241	0.000138
1242	0.000310
1243	0.000330
1244	0.000114
1245	0.000156
1246	0.000135
1247	0.000145
1248	0.000110
1249	0.000115
1250	0.000368
1251	0.000168
1252	0.000110
1253	0.000104
1254	0.000113
1255	0.000361
1256	0.000363
1257	0.000152
1258	0.000142
1259	0.000139
1260	0.000134
1261	0.000182
1262	0.000105
1263	0.000111
1264	0.000112
1265	0.000173
1266	0.000133
1267	0.000354
1268	0.000112
1269	0.000354
1270	0.000104
1271	0.000310
1272	0.000286
1273	0.000173
1274	0.000214
1275	0.000147
1276	0.000104
1277	0.000228
1278	0.000179
1279	0.000145
1280	0.000263
1281	0.000156
1282	0.000180
1283	0.000154
1284	0.000177
1285	0.000227
1286	0.000132
1287	0.000266
1288	0.000298
1289	0.000294
1290	0.000286
1291	0.000341
1292	0.000153
1293	0.000228
1294	0.000120
1295	0.000110
1296	0.000123
1297	0.000115
1298	0.000164
1299	0.000128
1300	0.000129
1301	0.000111
1302	0.000333
1303	0.000158
1304	0.000129
1305	0.000309
1306	0.000123
1307	0.000219
1308	0.000117
1309	0.000155
1310	0.000124
1311	0.000123
1312	0.000274
1313	0.000130
1314	0.000166
1315	0.000141
1316	0.000142
1317	0.000129
1318	0.000151
1319	0.000170
1320	0.000169
1321	0.000143
1322	0.000196
1323	0.000267
1324	0.000149
1325	0.000175
1326	0.000103
1327	0.000191
1328	0.000190
1329	0.000346
1330	0.000341
1331	0.000370
1332	0.000149
1333	0.000177
1334	0.000290
1335	0.000355
1336	0.000227
1337	0.000152
1338	0.000151
1339	0.000306
1340	0.000240
1341	0.000341
1342	0.000112
1343	0.000146
1344	0.000282
1345	0.000203
1346	0.000110
1347	0.000185
1348	0.000130
1349	0.000147
1350	0.000141
1351	0.000254
1352	0.000435
1353	0.000111
1354	0.000115
1355	0.000129
1356	0.000118
1357	0.000164
1358	0.000178
1359	0.000264
1360	0.000145
1361	0.000344
1362	0.000105
1363	0.000153
1364	0.000119
1365	0.000201
1366	0.000150
1367	0.000376
1368	0.000116
1369	0.000191
1370	0.000313
1371	0.000184
1372	0.000108
1373	0.000160
1374	0.000144
1375	0.000245
1376	0.000390
1377	0.000392
1378	0.000171
1379	0.000163
1380	0.000276
1381	0.000135
1382	0.000135
1383	0.000105
1384	0.000115
1385	0.000116
1386	0.000103
1387	0.000119
1388	0.000263
1389	0.000204
1390	0.000398
1391	0.000379
1392	0.000147
1393	0.000197
1394	0.000107
1395	0.000103
1396	0.000144
